"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tbd","0","test_class_method_as_step","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_nested_steps","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1221","test_invalid_credentials","tests","Sat Jan 11 13:12:36 GMT 2025","passed","Sat Jan 11 13:12:37 GMT 2025","TestLogin","login_test","",""
" Tbd ","1510","test_valid_credentials","tests","Sat Jan 11 13:12:33 GMT 2025","passed","Sat Jan 11 13:12:35 GMT 2025","TestLogin","login_test","",""
"","0","test_attach_file","tests","Sat Jan 11 13:12:24 GMT 2025","passed","Sat Jan 11 13:12:24 GMT 2025","TestAllureOptions","allure_test","",""
