"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Tbd ","1188","test_valid_credentials","tests","Wed May 06 15:17:33 UTC 2026","passed","Wed May 06 15:17:34 UTC 2026","TestLogin","login_test","",""
" Tbd ","1183","test_invalid_credentials","tests","Wed May 06 15:17:35 UTC 2026","passed","Wed May 06 15:17:37 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_inline_step","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Wed May 06 15:17:31 UTC 2026","passed","Wed May 06 15:17:31 UTC 2026","TestAllureOptions","allure_test","",""
