"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_attach_file","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
" Tbd ","1180","test_invalid_credentials","tests","Sun Oct 19 13:15:33 UTC 2025","passed","Sun Oct 19 13:15:34 UTC 2025","TestLogin","login_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
" Tbd ","1761","test_valid_credentials","tests","Sun Oct 19 13:15:30 UTC 2025","passed","Sun Oct 19 13:15:31 UTC 2025","TestLogin","login_test","",""
"","0","test_issue_link","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sun Oct 19 13:15:09 UTC 2025","passed","Sun Oct 19 13:15:09 UTC 2025","TestAllureOptions","allure_test","",""
