"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Wed Apr 17 13:05:11 GMT 2024","Wed Apr 17 13:05:12 GMT 2024","1780","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Wed Apr 17 13:05:14 GMT 2024","Wed Apr 17 13:05:15 GMT 2024","1333","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Wed Apr 17 13:04:55 GMT 2024","Wed Apr 17 13:04:55 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
