"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_testcase_link","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
" Tbd ","1465","test_valid_credentials","tests","Tue Dec 30 13:29:11 UTC 2025","passed","Tue Dec 30 13:29:13 UTC 2025","TestLogin","login_test","",""
"","0","test_issue_link","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
" Tbd ","1316","test_invalid_credentials","tests","Tue Dec 30 13:29:14 UTC 2025","passed","Tue Dec 30 13:29:15 UTC 2025","TestLogin","login_test","",""
"","0","test_custom_link","tests","Tue Dec 30 13:29:04 UTC 2025","passed","Tue Dec 30 13:29:04 UTC 2025","TestAllureOptions","allure_test","",""
