"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Tbd ","1464","test_valid_credentials","tests","Fri Jan 09 13:30:37 UTC 2026","passed","Fri Jan 09 13:30:39 UTC 2026","TestLogin","login_test","",""
"","0","test_custom_link","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_inline_step","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1311","test_invalid_credentials","tests","Fri Jan 09 13:30:40 UTC 2026","passed","Fri Jan 09 13:30:42 UTC 2026","TestLogin","login_test","",""
"","1","test_attach_file","tests","Fri Jan 09 13:30:31 UTC 2026","passed","Fri Jan 09 13:30:31 UTC 2026","TestAllureOptions","allure_test","",""
