"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_link","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1176","test_invalid_credentials","tests","Sun Mar 01 13:31:30 UTC 2026","passed","Sun Mar 01 13:31:31 UTC 2026","TestLogin","login_test","",""
"","0","test_custom_link","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1474","test_valid_credentials","tests","Sun Mar 01 13:31:28 UTC 2026","passed","Sun Mar 01 13:31:29 UTC 2026","TestLogin","login_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
"","1","test_issue_link","tests","Sun Mar 01 13:31:23 UTC 2026","passed","Sun Mar 01 13:31:23 UTC 2026","TestAllureOptions","allure_test","",""
