"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Thu Jan 25 13:09:57 GMT 2024","Thu Jan 25 13:09:58 GMT 2024","1235","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Thu Jan 25 13:09:55 GMT 2024","Thu Jan 25 13:09:56 GMT 2024","1559","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Thu Jan 25 13:09:38 GMT 2024","Thu Jan 25 13:09:38 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
