"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_attach_body_with_default_kwargs","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_testcase_link","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1162","test_invalid_credentials","tests","Thu Jul 10 13:27:25 GMT 2025","passed","Thu Jul 10 13:27:27 GMT 2025","TestLogin","login_test","",""
" Tbd ","1912","test_valid_credentials","tests","Thu Jul 10 13:27:22 GMT 2025","passed","Thu Jul 10 13:27:24 GMT 2025","TestLogin","login_test","",""
"Tbd","0","test_class_method_as_step","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Thu Jul 10 13:27:00 GMT 2025","passed","Thu Jul 10 13:27:00 GMT 2025","TestAllureOptions","allure_test","",""
