"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" Tbd ","1182","test_invalid_credentials","tests","Mon Mar 23 14:05:40 UTC 2026","passed","Mon Mar 23 14:05:41 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"","1","test_link","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1530","test_valid_credentials","tests","Mon Mar 23 14:05:37 UTC 2026","passed","Mon Mar 23 14:05:39 UTC 2026","TestLogin","login_test","",""
"","0","test_testcase_link","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"","1","test_attach_file","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Mon Mar 23 14:05:30 UTC 2026","passed","Mon Mar 23 14:05:30 UTC 2026","TestAllureOptions","allure_test","",""
