"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_custom_link","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1249","test_invalid_credentials","tests","Sun Aug 10 13:22:25 GMT 2025","passed","Sun Aug 10 13:22:26 GMT 2025","TestLogin","login_test","",""
"","1","test_attach_body_with_default_kwargs","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_reusable_step","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_file","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1530","test_valid_credentials","tests","Sun Aug 10 13:22:22 GMT 2025","passed","Sun Aug 10 13:22:24 GMT 2025","TestLogin","login_test","",""
"Tbd","1","test_class_method_as_step","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Sun Aug 10 13:22:10 GMT 2025","passed","Sun Aug 10 13:22:10 GMT 2025","TestAllureOptions","allure_test","",""
