"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_attach_file","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","1","test_inline_step","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1632","test_valid_credentials","tests","Mon May 18 16:15:22 UTC 2026","passed","Mon May 18 16:15:24 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_class_method_as_step","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
" Tbd ","1332","test_invalid_credentials","tests","Mon May 18 16:15:25 UTC 2026","passed","Mon May 18 16:15:26 UTC 2026","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Mon May 18 16:15:15 UTC 2026","passed","Mon May 18 16:15:15 UTC 2026","TestAllureOptions","allure_test","",""
