"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_file",""
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","1","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Wed Feb 14 13:04:08 GMT 2024","Wed Feb 14 13:04:09 GMT 2024","1325","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Wed Feb 14 13:04:04 GMT 2024","Wed Feb 14 13:04:06 GMT 2024","1785","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Wed Feb 14 13:03:49 GMT 2024","Wed Feb 14 13:03:49 GMT 2024","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
