"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tbd","0","test_inline_step","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1300","test_valid_credentials","tests","Thu Mar 06 13:17:18 GMT 2025","passed","Thu Mar 06 13:17:19 GMT 2025","TestLogin","login_test","",""
"","0","test_testcase_link","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1225","test_invalid_credentials","tests","Thu Mar 06 13:17:20 GMT 2025","passed","Thu Mar 06 13:17:21 GMT 2025","TestLogin","login_test","",""
"","0","test_attach_file","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","1","test_nested_steps","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body_with_default_kwargs","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Thu Mar 06 13:17:16 GMT 2025","passed","Thu Mar 06 13:17:16 GMT 2025","TestAllureOptions","allure_test","",""
