"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tbd","0","test_inline_step","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_file","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_custom_link","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1985","test_valid_credentials","tests","Tue Apr 08 13:20:58 GMT 2025","passed","Tue Apr 08 13:21:00 GMT 2025","TestLogin","login_test","",""
"Tbd","0","test_nested_steps","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1172","test_invalid_credentials","tests","Tue Apr 08 13:21:02 GMT 2025","passed","Tue Apr 08 13:21:03 GMT 2025","TestLogin","login_test","",""
"Tbd","0","test_class_method_as_step","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Tue Apr 08 13:20:41 GMT 2025","passed","Tue Apr 08 13:20:41 GMT 2025","TestAllureOptions","allure_test","",""
