"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_reusable_step","Tbd"
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_custom_link",""
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_attach_body_with_default_kwargs",""
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_nested_steps","Tbd"
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","1","tests","allure_test","TestAllureOptions","","","test_inline_step","Tbd"
"passed","Thu Nov 30 13:09:18 GMT 2023","Thu Nov 30 13:09:20 GMT 2023","1481","tests","login_test","TestLogin","","","test_valid_credentials"," Tbd "
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_testcase_link",""
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","1","tests","allure_test","TestAllureOptions","","","test_attach_body",""
"passed","Thu Nov 30 13:09:21 GMT 2023","Thu Nov 30 13:09:22 GMT 2023","1241","tests","login_test","TestLogin","","","test_invalid_credentials"," Tbd "
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","1","tests","allure_test","TestAllureOptions","","","test_link",""
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_issue_link",""
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_class_method_as_step","Tbd"
"passed","Thu Nov 30 13:09:09 GMT 2023","Thu Nov 30 13:09:09 GMT 2023","0","tests","allure_test","TestAllureOptions","","","test_attach_file",""
